,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.006527614593505859,0.0074464421419600715,0.07234272956848145,0.007121776529716847,1,{'n_neighbors': 1},0.9928571428571429,1.0,1.0,1.0,1.0,0.9985714285714286,0.0028571428571428467,1
1,0.0062503814697265625,0.007655122655229062,0.07611846923828125,0.007657326939087458,2,{'n_neighbors': 2},0.9928571428571429,1.0,1.0,1.0,1.0,0.9985714285714286,0.0028571428571428467,1
2,0.00937480926513672,0.0076544997256958345,0.07187504768371582,0.007657030974787056,3,{'n_neighbors': 3},0.9928571428571429,1.0,1.0,1.0,1.0,0.9985714285714286,0.0028571428571428467,1
3,0.0,0.0,0.08579082489013672,0.012105905348868875,4,{'n_neighbors': 4},0.9904761904761905,1.0,1.0,0.9976190476190476,1.0,0.9976190476190476,0.003688555567816574,4
4,0.003124523162841797,0.006249046325683594,0.08125066757202148,0.0062564714017577195,5,{'n_neighbors': 5},0.9904761904761905,1.0,1.0,0.9976190476190476,0.9976190476190476,0.9971428571428571,0.003499271061118814,5
5,0.006249427795410156,0.007653954665325987,0.07943201065063477,0.0026160663736409188,6,{'n_neighbors': 6},0.9904761904761905,1.0,1.0,0.9976190476190476,0.9976190476190476,0.9971428571428571,0.003499271061118814,5
6,0.004124879837036133,0.006066060900171318,0.0777237892150879,0.007011093291495062,7,{'n_neighbors': 7},0.9904761904761905,1.0,1.0,0.9976190476190476,0.9976190476190476,0.9971428571428571,0.003499271061118814,5
7,0.003124523162841797,0.006249046325683594,0.08125286102294922,0.0062540581230018984,8,{'n_neighbors': 8},0.9904761904761905,1.0,0.9952380952380953,0.9976190476190476,0.9976190476190476,0.9961904761904762,0.003229680944345354,8
8,0.009369564056396485,0.007650219140410915,0.07308406829833984,0.006460583161764697,9,{'n_neighbors': 9},0.9857142857142858,0.9952380952380953,0.9952380952380953,0.9976190476190476,0.9976190476190476,0.9942857142857143,0.00441600880737889,9
9,0.006248903274536133,0.0076533122376816,0.07812485694885254,0.013970149229340067,10,{'n_neighbors': 10},0.9785714285714285,0.9928571428571429,0.9952380952380953,0.9952380952380953,0.9952380952380953,0.9914285714285714,0.006494372236659952,10
