,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,6.781593179702758,0.07238493133659968,0.8874173641204834,0.04307797670708986,0.01,linear,"{'C': 0.01, 'kernel': 'linear'}",0.19047619047619047,0.19047619047619047,0.19047619047619047,0.1880952380952381,0.19047619047619047,0.19,0.000952380952380949,14
1,6.62838134765625,0.18788605531142225,0.9709800243377685,0.10389763295215632,0.01,poly,"{'C': 0.01, 'kernel': 'poly'}",0.19047619047619047,0.19047619047619047,0.18571428571428572,0.1880952380952381,0.19047619047619047,0.18904761904761905,0.001904761904761898,16
2,6.577765798568725,0.18762546894413787,0.9277552127838135,0.023193510272588463,0.01,rbf,"{'C': 0.01, 'kernel': 'rbf'}",0.19047619047619047,0.19047619047619047,0.19047619047619047,0.1880952380952381,0.19047619047619047,0.19,0.000952380952380949,14
3,6.654264879226685,0.04983439321267812,0.8771645545959472,0.012972683136798599,0.01,sigmoid,"{'C': 0.01, 'kernel': 'sigmoid'}",0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.0,13
4,3.9021967887878417,0.015517324481572737,0.7071903228759766,0.011280897977813075,0.1,linear,"{'C': 0.1, 'kernel': 'linear'}",0.9785714285714285,0.9976190476190476,1.0,0.9976190476190476,1.0,0.9947619047619047,0.008164965809277275,9
5,4.517876863479614,0.04082190320845835,0.767938232421875,0.022027340197271317,0.1,poly,"{'C': 0.1, 'kernel': 'poly'}",0.9642857142857143,0.9928571428571429,0.9904761904761905,0.9976190476190476,0.9880952380952381,0.9866666666666667,0.01162529106260353,12
6,4.784538316726684,0.05291493700980124,0.8053700923919678,0.019146661003911762,0.1,rbf,"{'C': 0.1, 'kernel': 'rbf'}",0.9666666666666667,0.9952380952380953,1.0,0.9976190476190476,0.9952380952380953,0.990952380952381,0.012270570215928691,11
7,4.38350248336792,0.018122799944472155,0.7720862865447998,0.011561426618978164,0.1,sigmoid,"{'C': 0.1, 'kernel': 'sigmoid'}",0.9738095238095238,0.9976190476190476,1.0,0.9976190476190476,1.0,0.9938095238095238,0.010056529562829949,10
8,1.154467725753784,0.015627319256623175,0.27390494346618655,0.011933205139672127,0.5,linear,"{'C': 0.5, 'kernel': 'linear'}",0.9928571428571429,1.0,1.0,1.0,1.0,0.9985714285714286,0.0028571428571428467,1
9,1.578890323638916,0.03252445363652111,0.28445773124694823,0.006203923339294483,0.5,poly,"{'C': 0.5, 'kernel': 'poly'}",0.9833333333333333,1.0,1.0,1.0,1.0,0.9966666666666667,0.006666666666666687,8
10,1.4091962337493897,0.020263692872722536,0.25678153038024903,0.012658680915619815,0.5,rbf,"{'C': 0.5, 'kernel': 'rbf'}",0.9928571428571429,1.0,1.0,1.0,1.0,0.9985714285714286,0.0028571428571428467,1
11,1.3253631114959716,0.011761283205611156,0.27248449325561525,0.016632540268420922,0.5,sigmoid,"{'C': 0.5, 'kernel': 'sigmoid'}",0.9928571428571429,1.0,1.0,1.0,1.0,0.9985714285714286,0.0028571428571428467,1
12,0.7565188884735108,0.012055406214528963,0.18749608993530273,5.962562191902384e-06,1.0,linear,"{'C': 1, 'kernel': 'linear'}",0.9928571428571429,1.0,1.0,1.0,1.0,0.9985714285714286,0.0028571428571428467,1
13,1.155591869354248,0.03909637549073286,0.202271032333374,0.0017005553245324487,1.0,poly,"{'C': 1, 'kernel': 'poly'}",0.9880952380952381,1.0,1.0,1.0,1.0,0.9976190476190476,0.004761904761904744,7
14,0.8774431228637696,0.017623774737438837,0.16874971389770507,0.006249149270242067,1.0,rbf,"{'C': 1, 'kernel': 'rbf'}",0.9928571428571429,1.0,1.0,1.0,1.0,0.9985714285714286,0.0028571428571428467,1
15,0.8306044101715088,0.008127147056400507,0.1718740463256836,0.00987729969109922,1.0,sigmoid,"{'C': 1, 'kernel': 'sigmoid'}",0.9928571428571429,1.0,1.0,1.0,1.0,0.9985714285714286,0.0028571428571428467,1
